iter	Passed	Remaining
0	57	57659
1	58	28990
2	58	19417
3	58	14632
4	59	11760
5	59	9837
6	59	8461
7	59	7430
8	60	6638
9	60	5997
10	60	5473
11	61	5038
12	61	4666
13	61	4350
14	62	4074
15	62	3831
16	62	3619
17	62	3435
18	63	3269
19	63	3116
20	63	2979
21	64	2857
22	64	2742
23	64	2638
24	65	2540
25	65	2453
26	65	2371
27	66	2295
28	66	2223
29	66	2156
30	67	2095
31	67	2036
32	67	1981
33	67	1931
34	68	1882
35	68	1835
36	68	1791
37	69	1750
38	69	1711
39	69	1676
40	70	1642
41	70	1607
42	70	1574
43	71	1544
44	71	1514
45	71	1485
46	71	1458
47	72	1432
48	72	1407
49	72	1382
50	73	1358
51	73	1335
52	73	1315
53	73	1293
54	74	1273
55	74	1254
56	74	1235
57	74	1217
58	75	1200
59	75	1183
60	75	1169
61	76	1153
62	76	1137
63	76	1121
64	76	1107
65	77	1095
66	77	1082
67	77	1066
68	78	1053
69	78	1041
70	78	1029
71	78	1017
72	79	1005
73	79	993
74	79	983
75	80	973
76	80	963
77	80	952
78	80	944
79	81	934
80	81	925
81	81	915
82	82	907
83	82	900
84	82	890
85	83	882
86	83	873
87	83	865
88	83	858
89	84	850
90	84	843
91	84	835
92	84	828
93	85	822
94	85	815
95	85	809
96	86	802
97	86	795
98	86	789
99	87	783
100	87	776
101	87	769
102	87	763
103	87	757
104	88	751
105	88	746
106	88	740
107	89	735
108	89	729
109	89	725
110	90	720
111	90	715
112	90	711
113	90	706
114	91	702
115	91	697
116	91	693
117	92	689
118	92	683
119	92	679
120	93	675
121	93	671
122	93	666
123	93	662
124	93	657
125	94	653
126	94	649
127	94	644
128	94	640
129	95	637
130	95	633
131	95	630
132	96	627
133	96	623
134	96	620
135	97	616
136	97	612
137	97	608
138	97	606
139	98	602
140	98	599
141	98	596
142	99	593
143	99	590
144	99	587
145	100	584
146	100	582
147	100	579
148	101	576
149	101	574
150	101	571
151	101	568
152	102	565
153	102	562
154	102	560
155	103	557
156	103	554
157	103	551
158	103	548
159	104	546
160	104	543
161	104	541
162	105	539
163	105	537
164	105	534
165	105	532
166	106	530
167	106	528
168	106	525
169	107	523
170	107	521
171	107	519
172	108	517
173	108	515
174	108	512
175	109	511
176	109	508
177	109	506
178	110	504
179	110	502
180	110	499
181	110	497
182	110	495
183	111	493
184	111	491
185	112	490
186	112	488
187	112	486
188	112	484
189	113	482
190	113	480
191	113	478
192	114	477
193	114	475
194	114	473
195	115	471
196	115	469
197	115	467
198	115	466
199	116	464
200	116	462
201	116	460
202	116	459
203	117	457
204	117	455
205	117	453
206	118	452
207	118	450
208	118	449
209	118	447
210	119	445
211	119	444
212	119	443
213	120	442
214	120	440
215	120	439
216	121	437
217	121	435
218	121	434
219	122	433
220	122	431
221	122	430
222	123	428
223	123	426
224	123	425
225	123	423
226	124	422
227	124	421
228	124	419
229	125	418
230	125	417
231	125	416
232	126	415
233	126	413
234	126	412
235	127	411
236	127	410
237	127	408
238	127	407
239	128	406
240	128	404
241	128	403
242	129	402
243	129	400
244	129	399
245	130	398
246	130	397
247	130	396
248	131	395
249	131	394
250	131	392
251	132	391
252	132	390
253	132	389
254	132	388
255	133	387
256	133	386
257	133	385
258	134	383
259	134	383
260	134	381
261	135	380
262	135	379
263	135	378
264	136	377
265	136	376
266	136	375
267	137	374
268	137	373
269	137	372
270	137	371
271	138	369
272	138	368
273	138	367
274	139	366
275	139	365
276	139	365
277	140	364
278	140	363
279	140	362
280	141	361
281	141	360
282	142	359
283	142	358
284	142	357
285	142	356
286	143	355
287	143	354
288	143	353
289	144	353
290	144	352
291	144	351
292	145	350
293	145	349
294	145	348
295	146	347
296	146	346
297	146	345
298	147	345
299	147	344
300	147	343
301	148	342
