iter	Passed	Remaining
0	1	1124
1	1	716
2	1	574
3	2	501
4	2	455
5	2	428
6	2	406
7	3	387
8	3	375
9	3	365
10	3	356
11	4	350
12	4	351
13	4	349
14	5	342
15	5	337
16	5	333
17	6	329
18	6	328
19	6	324
20	6	321
21	7	318
22	7	316
23	7	314
24	8	313
25	8	314
26	8	313
27	8	311
28	9	310
29	9	310
30	9	312
31	10	310
32	10	310
33	10	310
34	11	308
35	11	309
36	11	308
37	12	307
38	12	305
39	12	305
40	12	303
41	13	301
42	13	300
43	13	298
44	14	298
45	14	299
46	14	298
47	14	296
48	15	295
49	15	293
50	15	293
51	16	291
52	16	290
53	16	289
54	16	288
55	17	289
56	17	289
57	17	289
58	18	289
59	18	288
60	18	288
61	18	286
62	19	287
63	19	287
64	19	286
65	20	286
66	20	285
67	20	285
68	21	284
69	21	283
70	21	284
71	22	283
72	22	283
73	22	282
74	22	282
75	23	281
76	23	280
77	23	280
78	24	279
79	24	279
80	24	279
81	24	278
82	25	276
83	25	275
84	25	275
85	25	274
86	26	273
87	26	273
88	26	274
89	27	274
90	27	274
91	27	274
92	28	273
93	28	273
94	28	272
95	28	272
96	29	271
97	29	271
98	29	271
99	30	271
100	30	270
101	30	270
102	31	269
103	31	270
104	31	270
105	31	269
106	32	270
107	32	270
108	33	270
109	33	270
110	33	269
111	33	269
112	34	268
113	34	268
114	34	268
115	35	268
116	35	267
117	35	267
118	36	266
119	36	266
120	36	266
121	36	266
122	37	266
123	37	266
124	37	265
125	38	265
126	38	264
127	38	263
128	38	263
129	39	262
130	39	262
131	39	261
132	40	261
133	40	261
134	40	261
135	41	260
136	41	260
137	41	260
138	42	260
139	42	260
140	42	259
141	42	258
142	43	258
143	43	257
144	43	257
145	43	256
146	44	256
147	44	256
148	45	257
149	45	256
150	45	256
151	45	256
152	46	255
153	46	255
154	46	254
155	46	254
156	47	254
157	47	253
158	47	253
159	48	253
160	48	252
161	48	251
162	48	251
163	49	250
164	49	250
165	49	250
166	50	250
167	50	249
168	50	249
169	50	248
170	51	248
171	51	248
172	51	248
173	52	247
174	52	247
175	52	246
176	53	246
177	53	246
178	53	245
179	53	245
180	54	244
181	54	244
182	54	243
183	54	243
184	55	243
185	55	242
186	55	242
187	56	241
188	56	241
189	56	241
190	56	241
191	57	240
192	57	240
193	57	240
194	58	239
195	58	239
196	58	239
197	58	238
198	59	238
199	59	238
200	59	237
201	60	237
202	60	237
203	60	236
204	60	236
205	61	236
206	61	235
207	61	235
208	62	235
209	62	235
210	62	234
211	63	234
212	63	234
213	63	233
214	64	233
215	64	233
216	64	233
217	64	233
218	65	233
219	65	232
220	65	232
221	66	232
222	66	232
223	67	232
224	67	231
225	67	231
226	67	231
227	68	231
228	68	230
229	68	230
230	69	230
231	69	229
232	69	229
233	69	229
234	70	228
235	70	228
236	70	227
237	71	227
238	71	227
239	71	226
240	71	226
241	72	225
242	72	225
243	72	225
244	73	225
245	73	224
246	73	224
247	73	224
248	74	224
249	74	223
250	75	223
251	75	223
252	75	223
253	75	223
254	76	222
255	76	222
256	77	222
257	77	222
258	77	222
259	77	221
260	78	221
261	78	221
262	78	221
263	79	221
264	79	220
265	79	220
266	80	220
267	80	220
268	80	219
269	81	219
270	81	219
271	81	219
272	82	218
273	82	218
274	82	218
275	83	217
276	83	217
277	83	217
278	84	217
279	84	217
280	84	217
281	85	217
282	85	216
283	85	216
284	86	216
285	86	215
286	86	215
287	87	215
288	87	214
289	87	214
290	88	214
291	88	214
292	88	214
293	89	213
294	89	213
295	89	213
296	90	213
297	90	213
298	90	213
299	91	212
300	91	212
301	91	212
302	92	211
303	92	211
304	92	211
305	92	210
306	93	210
307	93	210
308	94	210
309	94	209
310	94	209
311	94	209
312	95	208
313	95	208
314	95	208
315	96	208
316	96	208
317	96	207
318	97	207
319	97	207
320	97	206
321	98	206
322	98	206
323	98	206
324	99	205
325	99	205
326	99	205
327	100	205
328	100	205
329	100	204
330	101	204
331	101	204
332	101	204
333	102	204
334	102	203
335	102	203
336	103	203
337	103	203
338	103	202
339	104	202
340	104	202
341	105	202
342	105	201
343	105	201
344	106	201
345	106	201
346	106	200
347	106	200
348	107	200
349	107	199
350	108	199
351	108	199
352	108	198
353	108	198
354	109	198
355	109	198
356	109	197
357	110	197
358	110	197
359	110	197
360	111	196
361	111	196
362	111	196
363	112	196
364	112	195
365	112	195
366	113	195
367	113	194
368	113	194
369	114	194
370	114	194
371	114	193
372	115	193
373	115	193
374	115	192
375	116	192
376	116	192
377	116	192
378	117	191
379	117	191
380	117	191
381	117	190
382	118	190
383	118	190
384	118	189
385	119	189
386	119	189
387	119	189
388	120	188
389	120	188
390	120	188
391	121	187
392	121	187
393	121	187
394	122	187
395	122	186
396	122	186
397	123	186
398	123	185
399	123	185
400	124	185
401	124	185
402	124	184
403	125	184
404	125	184
405	125	183
406	125	183
407	126	183
408	126	182
409	126	182
410	127	182
411	127	182
412	127	181
413	128	181
414	128	181
415	128	180
416	129	180
417	129	180
418	129	179
419	130	179
420	130	179
421	130	179
422	131	178
423	131	178
424	131	178
425	132	177
426	132	177
427	132	177
428	133	177
429	133	176
430	133	176
431	134	176
432	134	175
433	134	175
434	134	175
435	135	175
436	135	174
437	135	174
438	136	174
439	136	173
440	136	173
441	137	172
442	137	172
443	137	172
444	138	172
445	138	171
446	138	171
447	138	171
448	139	171
449	139	170
450	139	170
451	140	170
452	140	169
453	141	169
454	141	169
455	141	169
456	142	168
457	142	168
458	142	168
459	142	167
460	143	167
461	143	167
462	143	166
463	144	166
464	144	166
465	144	165
466	145	165
467	145	165
468	145	165
469	146	164
470	146	164
471	146	164
472	147	163
473	147	163
474	147	163
475	148	163
476	148	162
477	148	162
478	148	162
479	149	161
480	149	161
481	149	161
482	150	160
483	150	160
484	151	160
485	151	160
486	151	159
487	152	159
488	152	159
489	152	159
490	153	158
491	153	158
492	153	158
493	153	157
494	154	157
495	154	157
496	155	156
497	155	156
498	155	156
499	156	156
500	156	155
501	156	155
502	157	155
503	157	154
504	157	154
505	157	154
506	158	153
507	158	153
508	158	153
509	159	152
510	159	152
511	159	152
512	160	152
513	160	151
514	160	151
515	161	151
516	161	150
517	161	150
518	162	150
519	162	149
520	162	149
521	162	149
522	163	148
523	163	148
524	164	148
525	164	148
526	164	147
527	165	147
528	165	147
529	165	146
530	165	146
531	166	146
532	166	145
533	166	145
534	167	145
535	167	145
536	167	144
537	168	144
538	168	144
539	168	143
540	169	143
541	169	143
542	169	142
543	170	142
544	170	142
545	171	142
546	171	141
547	171	141
548	172	141
549	172	141
550	172	140
551	173	140
552	173	140
553	173	139
554	174	139
555	174	139
556	174	138
557	175	138
558	175	138
559	175	138
560	175	137
561	176	137
562	176	137
563	176	136
564	177	136
565	177	136
566	177	135
567	178	135
568	178	135
569	178	134
570	178	134
571	179	134
572	179	133
573	179	133
574	180	133
575	180	132
576	180	132
577	180	132
578	181	131
579	181	131
580	181	131
581	182	130
582	182	130
583	182	130
584	182	129
585	183	129
586	183	128
587	183	128
588	183	128
589	184	127
590	185	128
591	185	127
592	185	127
593	186	127
594	186	126
595	186	126
596	186	126
597	187	125
598	187	125
599	187	125
600	187	124
601	188	124
602	188	124
603	188	123
604	188	123
605	189	122
606	189	122
607	189	122
608	189	121
609	190	121
610	190	121
611	190	120
612	190	120
613	191	120
614	191	119
615	191	119
616	191	119
617	191	118
618	192	118
619	192	117
620	192	117
621	192	117
622	193	116
623	193	116
624	193	116
625	193	115
626	194	115
627	194	115
628	194	114
629	194	114
630	194	114
631	195	113
632	195	113
633	195	112
634	196	112
635	196	112
636	196	111
637	196	111
638	196	111
639	197	110
640	197	110
641	197	110
642	197	109
643	198	109
644	198	109
645	198	108
646	199	108
647	199	108
648	199	108
649	200	107
650	200	107
651	200	107
652	200	106
653	201	106
654	201	106
655	201	105
656	201	105
657	202	105
658	202	104
659	202	104
660	202	104
661	203	103
662	203	103
663	203	103
664	203	102
665	204	102
666	204	102
667	204	101
668	204	101
669	204	100
670	205	100
671	205	100
672	205	99
673	205	99
674	206	99
675	206	98
676	206	98
677	206	98
678	207	97
679	207	97
680	207	97
681	207	96
682	208	96
683	208	96
684	208	95
685	208	95
686	209	95
687	209	94
688	209	94
689	209	94
690	210	93
691	210	93
692	210	93
693	210	92
694	211	92
695	211	92
696	211	91
697	211	91
698	211	91
699	212	90
700	212	90
701	212	90
702	212	89
703	213	89
704	213	89
705	213	88
706	213	88
707	214	88
708	214	87
709	214	87
710	214	87
711	215	87
712	215	86
713	215	86
714	215	86
715	216	85
716	216	85
717	216	85
718	216	84
719	217	84
720	217	84
721	217	83
722	217	83
723	218	83
724	218	82
725	218	82
726	218	82
727	219	81
728	219	81
729	219	81
730	219	80
731	219	80
732	220	80
733	220	79
734	220	79
735	220	79
736	221	78
737	221	78
738	221	78
739	221	77
740	222	77
741	222	77
742	222	76
743	222	76
744	223	76
745	223	76
746	223	75
747	223	75
748	224	75
749	224	74
750	224	74
751	224	74
752	224	73
753	225	73
754	225	73
755	225	72
756	225	72
757	226	72
758	226	71
759	226	71
760	226	71
761	227	70
762	227	70
763	227	70
764	227	69
765	227	69
766	228	69
767	228	69
768	228	68
769	228	68
770	229	68
771	229	67
772	229	67
773	229	67
774	230	66
775	230	66
776	230	66
777	230	65
778	231	65
779	231	65
780	231	65
781	232	64
782	232	64
783	232	64
784	232	63
785	233	63
786	233	63
787	233	62
788	233	62
789	234	62
790	234	62
791	235	61
792	236	61
793	237	61
794	237	61
795	237	60
796	237	60
797	238	60
798	238	59
799	238	59
800	238	59
801	239	59
802	239	58
803	239	58
804	239	58
805	239	57
806	240	57
807	240	57
808	240	56
809	240	56
810	241	56
811	241	55
812	241	55
813	241	55
814	242	54
815	242	54
816	242	54
817	242	54
818	243	53
819	243	53
820	243	53
821	243	52
822	244	52
823	244	52
824	244	51
825	244	51
826	245	51
827	245	50
828	245	50
829	245	50
830	246	50
831	246	49
832	246	49
833	246	49
834	247	48
835	247	48
836	247	48
837	248	47
838	248	47
839	248	47
840	248	47
841	249	46
842	249	46
843	249	46
844	250	45
845	250	45
846	250	45
847	250	44
848	251	44
849	251	44
850	251	44
851	252	43
852	252	43
853	252	43
854	252	42
855	252	42
856	253	42
857	253	41
858	253	41
859	253	41
860	254	41
861	254	40
862	254	40
863	254	40
864	255	39
865	255	39
866	255	39
867	255	38
868	256	38
869	256	38
870	256	37
871	256	37
872	256	37
873	257	37
874	257	36
875	257	36
876	257	36
877	258	35
878	258	35
879	258	35
880	258	34
881	259	34
882	259	34
883	259	34
884	259	33
885	260	33
886	260	33
887	260	32
888	261	32
889	261	32
890	261	32
891	261	31
892	262	31
893	262	31
894	262	30
895	263	30
896	263	30
897	263	29
898	263	29
899	264	29
900	264	29
901	264	28
902	264	28
903	265	28
904	265	27
905	265	27
906	265	27
907	266	26
908	266	26
909	266	26
910	266	26
911	267	25
912	267	25
913	267	25
914	267	24
915	267	24
916	268	24
917	268	23
918	268	23
919	269	23
920	269	23
921	269	22
922	269	22
923	269	22
924	270	21
925	270	21
926	270	21
927	270	21
928	271	20
929	271	20
930	271	20
931	271	19
932	272	19
933	272	19
934	272	18
935	272	18
936	273	18
937	273	18
938	273	17
939	273	17
940	274	17
941	274	16
942	274	16
943	274	16
944	275	16
945	275	15
946	275	15
947	275	15
948	275	14
949	276	14
950	276	14
951	276	13
952	277	13
953	277	13
954	277	13
955	277	12
956	277	12
957	278	12
958	278	11
959	278	11
960	279	11
961	279	11
962	279	10
963	280	10
964	280	10
965	280	9
966	280	9
967	280	9
968	281	8
969	281	8
970	281	8
971	281	8
972	282	7
973	282	7
974	282	7
975	282	6
976	283	6
977	283	6
978	283	6
979	283	5
980	284	5
981	284	5
982	284	4
983	284	4
984	285	4
985	285	4
986	285	3
987	285	3
988	285	3
989	286	2
990	286	2
991	286	2
992	286	2
993	287	1
994	287	1
995	287	1
996	287	0
997	288	0
998	288	0
999	288	0
